epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,4999.75,0.83166,0.68573,1.33491,0.97921,0.96429,0.98859,0.88523,0.46954,0.3214,0.97457,2.70546e-05,2.70546e-05,2.70546e-05
181,5027.42,0.81234,0.68022,1.31271,0.97039,0.96875,0.98853,0.88355,0.47823,0.3225,0.97905,2.45693e-05,2.45693e-05,2.45693e-05
182,5054.97,0.83494,0.69146,1.34542,0.97307,0.96782,0.9886,0.88088,0.4814,0.32,0.98098,2.22013e-05,2.22013e-05,2.22013e-05
183,5082.63,0.81987,0.66799,1.33269,0.98119,0.95982,0.98788,0.88139,0.47747,0.32018,0.97897,1.99512e-05,1.99512e-05,1.99512e-05
184,5109.78,0.8445,0.68615,1.33339,0.9726,0.97321,0.98916,0.88413,0.47528,0.31981,0.97746,1.78195e-05,1.78195e-05,1.78195e-05
185,5137.31,0.82295,0.69112,1.33186,0.97286,0.96007,0.98789,0.88486,0.47183,0.32104,0.9751,1.58068e-05,1.58068e-05,1.58068e-05
186,5165.94,0.68862,0.44639,1.2579,0.94853,0.95982,0.98135,0.87671,0.47946,0.39446,0.9902,1.39137e-05,1.39137e-05,1.39137e-05
187,5193.33,0.66332,0.42624,1.22031,0.94639,0.95982,0.98084,0.87471,0.47613,0.38483,0.99047,1.21404e-05,1.21404e-05,1.21404e-05
188,5220.68,0.6719,0.41318,1.24048,0.95129,0.95902,0.98055,0.87637,0.47661,0.3815,0.9898,1.04876e-05,1.04876e-05,1.04876e-05
189,5248.02,0.6759,0.40658,1.23692,0.95142,0.96168,0.98124,0.87763,0.47854,0.3808,0.99014,8.95549e-06,8.95549e-06,8.95549e-06
190,5275.39,0.67717,0.40476,1.23669,0.95204,0.95982,0.98119,0.87531,0.48227,0.37725,0.99184,7.54459e-06,7.54459e-06,7.54459e-06
191,5302.88,0.65196,0.38327,1.21487,0.95316,0.96429,0.98142,0.87674,0.48496,0.37541,0.99362,6.25521e-06,6.25521e-06,6.25521e-06
192,5330.29,0.65601,0.38751,1.22551,0.95996,0.96329,0.98152,0.87587,0.48262,0.37435,0.99169,5.08767e-06,5.08767e-06,5.08767e-06
193,5357.65,0.65773,0.3852,1.22854,0.95025,0.96875,0.98138,0.87521,0.48452,0.37571,0.99255,4.04226e-06,4.04226e-06,4.04226e-06
194,5385.01,0.66533,0.39051,1.24021,0.95138,0.96875,0.98115,0.87492,0.49043,0.37097,0.9972,3.11922e-06,3.11922e-06,3.11922e-06
195,5412.37,0.65338,0.39,1.22023,0.95026,0.96875,0.98144,0.87399,0.48764,0.37222,0.99463,2.3188e-06,2.3188e-06,2.3188e-06
196,5439.68,0.65566,0.38976,1.22708,0.9507,0.96875,0.98153,0.87537,0.48683,0.37102,0.99452,1.64118e-06,1.64118e-06,1.64118e-06
197,5467.17,0.65636,0.3883,1.22718,0.96007,0.966,0.9816,0.87564,0.48328,0.37408,0.99219,1.08654e-06,1.08654e-06,1.08654e-06
198,5494.43,0.65654,0.39514,1.22545,0.95938,0.96875,0.98176,0.87537,0.48326,0.37354,0.99247,6.55007e-07,6.55007e-07,6.55007e-07
199,5522.01,0.64807,0.38904,1.22077,0.95728,0.96875,0.98163,0.87592,0.48576,0.37114,0.99407,3.46695e-07,3.46695e-07,3.46695e-07
200,5549.41,0.63198,0.37552,1.1972,0.95226,0.96429,0.98124,0.8731,0.48984,0.37556,0.99725,1.61678e-07,1.61678e-07,1.61678e-07
