epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1179.15,1.16817,1.23716,1.58407,0.92341,0.88839,0.94421,0.6913,0.97495,0.74606,1.35922,0.000899852,0.000899852,0.000899852
43,1206.73,1.15992,1.23477,1.59228,0.92257,0.85111,0.93838,0.70631,0.91863,0.69395,1.32403,0.000895088,0.000895088,0.000895088
44,1234.43,1.13972,1.23629,1.55908,0.87732,0.87946,0.92049,0.68883,0.8988,0.74971,1.30187,0.000890226,0.000890226,0.000890226
45,1262.15,1.14386,1.18569,1.57114,0.91119,0.87031,0.94232,0.66721,1.01384,0.67479,1.39436,0.000885268,0.000885268,0.000885268
46,1289.73,1.12441,1.20478,1.54994,0.93691,0.92857,0.968,0.71827,0.97087,0.61387,1.33885,0.000880215,0.000880215,0.000880215
47,1317.65,1.1409,1.19439,1.55508,0.88931,0.8967,0.9512,0.71347,0.89823,0.66317,1.31576,0.000875068,0.000875068,0.000875068
48,1345.29,1.13887,1.20882,1.55989,0.95646,0.88258,0.95713,0.6133,1.20634,0.7359,1.52902,0.000869829,0.000869829,0.000869829
49,1373.11,1.12253,1.18776,1.5495,0.93625,0.89286,0.9675,0.66073,1.09483,0.78724,1.45456,0.000864498,0.000864498,0.000864498
50,1400.84,1.12327,1.17384,1.56597,0.74041,0.85714,0.86231,0.54108,1.28292,0.95843,1.57852,0.000859077,0.000859077,0.000859077
51,1428.6,1.12234,1.19828,1.54932,0.93253,0.91518,0.96292,0.62455,1.21759,0.76257,1.53364,0.000853568,0.000853568,0.000853568
52,1456.22,1.09947,1.12656,1.53148,0.89394,0.94643,0.95813,0.62385,1.18391,0.77922,1.51786,0.000847972,0.000847972,0.000847972
53,1483.92,1.11097,1.18093,1.54851,0.88133,0.89522,0.93547,0.66425,1.00991,0.70175,1.34938,0.000842289,0.000842289,0.000842289
54,1511.48,1.09519,1.16246,1.53131,0.88549,0.89732,0.94185,0.71764,0.85836,0.62615,1.28135,0.000836523,0.000836523,0.000836523
55,1539.23,1.10815,1.14262,1.54074,0.93649,0.87946,0.96502,0.74943,0.83064,0.61888,1.26606,0.000830673,0.000830673,0.000830673
56,1566.94,1.11619,1.15698,1.55022,0.89237,0.85131,0.93107,0.74334,0.82486,0.66527,1.25557,0.000824742,0.000824742,0.000824742
57,1594.4,1.1084,1.1686,1.55057,0.91071,0.89732,0.95429,0.72875,0.89623,0.66571,1.29235,0.00081873,0.00081873,0.00081873
58,1622.03,1.1083,1.12643,1.55406,0.90077,0.89154,0.95532,0.72281,0.86807,0.63115,1.28368,0.00081264,0.00081264,0.00081264
59,1649.64,1.11707,1.14153,1.53873,0.91999,0.88393,0.95717,0.72949,0.88542,0.64379,1.30768,0.000806473,0.000806473,0.000806473
60,1677.32,1.10447,1.12776,1.54853,0.91754,0.84445,0.93326,0.69373,0.89363,0.67831,1.3152,0.00080023,0.00080023,0.00080023
61,1704.92,1.11731,1.13164,1.54284,0.88257,0.83884,0.91596,0.69942,0.88435,0.7677,1.29793,0.000793913,0.000793913,0.000793913
62,1732.63,1.12032,1.09413,1.56091,0.91938,0.89286,0.94055,0.68566,0.89899,0.67794,1.33371,0.000787524,0.000787524,0.000787524
63,1760.28,1.08178,1.10804,1.52243,0.91449,0.92411,0.96502,0.68933,1.03155,0.61944,1.37974,0.000781064,0.000781064,0.000781064
64,1787.84,1.10087,1.07501,1.52903,0.9339,0.94615,0.97564,0.74772,0.8168,0.60599,1.25563,0.000774534,0.000774534,0.000774534
65,1815.61,1.09894,1.10576,1.54898,0.92523,0.86161,0.95663,0.67155,1.08251,0.68386,1.44042,0.000767937,0.000767937,0.000767937
66,1843.25,1.10459,1.11231,1.54975,0.88837,0.89286,0.94053,0.7187,0.88232,0.66735,1.29548,0.000761273,0.000761273,0.000761273
67,1870.82,1.05778,1.06405,1.5079,0.90068,0.90179,0.94953,0.76304,0.75781,0.62119,1.20848,0.000754545,0.000754545,0.000754545
68,1898.71,1.06806,1.07828,1.51686,0.90714,0.91587,0.96495,0.75636,0.77998,0.61556,1.20858,0.000747755,0.000747755,0.000747755
69,1926.2,1.07186,1.08788,1.50199,0.87859,0.91964,0.94705,0.73432,0.81995,0.61133,1.22883,0.000740903,0.000740903,0.000740903
70,1953.72,1.08072,1.0685,1.53324,0.9216,0.89219,0.95835,0.76772,0.76259,0.55795,1.20192,0.000733992,0.000733992,0.000733992
71,1981.54,1.08894,1.07321,1.53077,0.89493,0.95061,0.96288,0.75763,0.78908,0.58968,1.20653,0.000727023,0.000727023,0.000727023
72,2009.47,1.09469,1.07883,1.55124,0.94369,0.92857,0.97471,0.73743,0.90768,0.55297,1.29418,0.000719998,0.000719998,0.000719998
73,2036.99,1.06734,1.04834,1.51441,0.9241,0.9375,0.96258,0.7642,0.7689,0.54982,1.20801,0.000712918,0.000712918,0.000712918
74,2064.79,1.04251,1.02244,1.49046,0.92873,0.9308,0.97135,0.77144,0.76641,0.54422,1.19861,0.000705787,0.000705787,0.000705787
75,2092.79,1.06322,1.01924,1.50519,0.91502,0.86522,0.94609,0.68584,0.97007,0.6512,1.35655,0.000698604,0.000698604,0.000698604
76,2120.37,1.02675,1.0029,1.47079,0.89906,0.91451,0.95296,0.77121,0.71516,0.61191,1.17784,0.000691373,0.000691373,0.000691373
77,2147.93,1.06301,1.00206,1.52546,0.88272,0.90719,0.93972,0.74337,0.76864,0.67747,1.24181,0.000684094,0.000684094,0.000684094
78,2177.63,1.09734,1.08537,1.54435,0.88774,0.91793,0.9542,0.74157,0.88605,0.72737,1.27235,0.00067677,0.00067677,0.00067677
79,2208.18,1.05748,1.0513,1.5023,0.92038,0.91071,0.95566,0.71479,0.90653,0.63716,1.30089,0.000669402,0.000669402,0.000669402
80,2235.84,1.05474,0.99945,1.50179,0.90103,0.89415,0.94602,0.74975,0.79403,0.62477,1.22638,0.000661993,0.000661993,0.000661993
81,2263.44,1.01861,0.99711,1.48131,0.94218,0.94564,0.98092,0.71686,0.96594,0.54065,1.33032,0.000654543,0.000654543,0.000654543
82,2291.3,1.04874,1.03683,1.48431,0.93636,0.92411,0.97036,0.69494,1.06483,0.6157,1.42774,0.000647055,0.000647055,0.000647055
83,2319,1.04052,1.00285,1.48975,0.93001,0.91964,0.97575,0.78617,0.75334,0.49674,1.17716,0.000639532,0.000639532,0.000639532
84,2346.62,1.04394,0.99044,1.49248,0.93106,0.91518,0.9662,0.78223,0.69512,0.54395,1.14735,0.000631973,0.000631973,0.000631973
85,2374.36,1.05357,0.98687,1.49493,0.93347,0.87946,0.95636,0.78553,0.67799,0.58674,1.14246,0.000624383,0.000624383,0.000624383
86,2401.9,1.01514,0.95877,1.48306,0.94609,0.94006,0.97422,0.76169,0.81877,0.50403,1.23478,0.000616761,0.000616761,0.000616761
87,2429.6,1.03728,0.93979,1.50032,0.90782,0.92324,0.95283,0.7764,0.68403,0.5498,1.12911,0.000609111,0.000609111,0.000609111
88,2457.14,1.02439,0.94739,1.47315,0.89618,0.92489,0.95975,0.77069,0.72423,0.66379,1.15479,0.000601434,0.000601434,0.000601434
89,2484.62,1.0095,0.97683,1.46131,0.91191,0.90625,0.95501,0.80586,0.62686,0.50874,1.10848,0.000593731,0.000593731,0.000593731
90,2512.45,1.0264,0.9565,1.47109,0.93607,0.90625,0.9696,0.80693,0.67015,0.52064,1.13149,0.000586006,0.000586006,0.000586006
